index,URL
Arizona State University,https://grad.arizona.edu/catalog/programinfo/STATDSMS
Brown University,https://www.brown.edu/initiatives/data-science/masters-degree
California State University,https://www.csueastbay.edu/msba/
Case Western Reserve University,https://bulletin.case.edu/schoolofengineering/compdatasci/#graduatetext
Chapman University,https://www.chapman.edu/scst/graduate/ms-computational-science.aspx
Claremont Graduate University,https://bulletin.cgu.edu/preview_program.php?catoid=17&poid=2114&returnto=2323
Colorado School of Mines,https://gradprograms.mines.edu/computer-science-graduate-program/
Columbia University,https://datascience.columbia.edu/education/programs/m-s-in-data-science/
"DePaul University - Illinois, Chicago",https://www.cdm.depaul.edu/academics/pages/MS-in-Data-Science.aspx
Duke University,https://datascience.duke.edu/mids-courses
Embry-Riddle Aeronautical University-Daytona Beach,https://erau.edu/degrees/master/data-science
Fox School of Business And Management- Pennsylvania,https://www.temple.edu/academics/degree-programs/business-analytics-ms-bu-busa-ms
George Washington University,https://datasci.columbian.gwu.edu/
Georgetown University,https://analytics.georgetown.edu/
Georgia State University,https://cas.gsu.edu/program/data-science-and-analytics-ms-big-data-and-machine-learning/
Harvard University,https://www.seas.harvard.edu/applied-computation/graduate-programs/masters-data-science
Icahn School of Medicine At Mount Sinai,https://icahn.mssm.edu/education/phd/biomedical-sciences/genetic-data
Indiana University,https://datascience.indiana.edu/programs/residential/index.html
Indiana University - Purdue University Indianapolis,https://soic.iupui.edu/degrees/data-science/data-science-masters/
Juniata College,https://www.juniata.edu/academics/graduate-programs/data-science.php
Michigan Technological University,https://www.mtu.edu/data-science/programs/masters/
Montana State University,http://catalog.montana.edu/graduate/
Naval Postgraduate School,https://nps.edu/web/data-sciences
New Jersey Institute of Technology,https://catalog.njit.edu/graduate/computing-sciences/computer-science/data-science-ms/
New York Institute of Technology,https://www.nyit.edu/degrees/data_science_ms
New York University,https://cds.nyu.edu/masters-program/
North Carolina State University,https://analytics.ncsu.edu/
Northeastern University,https://www.northeastern.edu/graduate/program/master-of-science-in-data-science-5256/
Oklahoma State University,https://go.okstate.edu/graduate-academics/programs/masters/business-analytics-and-data-science-ms.html
Rowan University,https://global.rowan.edu/programs/ms-in-data-analytics.html
Saint Mary's College,https://grad.saintmarys.edu/academic-programs/ms-data-science
Saint Peter's University,https://www.saintpeters.edu/academics/graduate-programs/master-of-science-in-data-science/
San Jose State University,https://www.sjsu.edu/science/special-programs/ms-data-science.php
Seattle University - Washington,https://www.washington.edu/datasciencemasters/
Sofia University,https://www.sofia.edu/ourprograms/mscs/
South Dakota State University,https://www.sdstate.edu/mathematics-statistics/master-science-data-science
St. John's University,https://www.stjohns.edu/academics/programs/data-science-master-science
Stanford University,https://statistics.stanford.edu/graduate-programs/statistics-ms/statistics-data-science-curriculum
Stevens Institute of Technology,https://www.stevens.edu/schaefer-school-engineering-science/departments/mathematical-sciences/graduate-programs/data-science-masters-program
Syracuse University,https://ischool.syr.edu/academics/applied-data-science-masters-degree/
The Graduate Center City University of New York,https://www.gc.cuny.edu/data-science
Tufts University,https://asegrad.tufts.edu/academics/explore-graduate-programs/data-science
University At Albany,https://www.albany.edu/math/programs/ms-data-science
University at Buffalo,http://www.buffalo.edu/academics/degree_programs.host.html/content/authoritative/grad/programs/engineering-science-data-science-ms.detail.html
University of Alabama at Birmingham,https://www.uab.edu/cas/computerscience/graduate-programs/masters-programs/msds
University of California,https://ischoolonline.berkeley.edu/data-science/
University of Central Florida,https://www.ucf.edu/degree/statistics-and-data-science-ms/data-science-track/
University of Central Missouri,https://www.ucmo.edu/academics/programs/masters-degrees/big-data-analytics-and-information-technology-ms-53-645/index.php
University of Delaware,https://www.msds.udel.edu/
University of Denver,https://ritchieonline.du.edu/data-science/
University of Kansas,https://edwardscampus.ku.edu/overview-masters-applied-statistics-analytics
University of Maryland,https://gradschool.umd.edu/computermathematicalnatural-sciences/mpda
University of Massachusetts-Amherst,https://ds.cs.umass.edu/masters-concentration-data-science
University of Michigan - Dearborn,https://umdearborn.edu/cecs/departments/computer-and-information-science/graduate-programs/ms-data-science
University of Michigan – Ann Arbor,https://lsa.umich.edu/stats/masters_students/mastersprograms/data-science-masters-program.html
University of Minnesota,https://cse.umn.edu/datascience
University of Missouri,https://dsa.missouri.edu/
University of New Haven,https://www.newhaven.edu/engineering/graduate-programs/data-science/
University of North Carolina,https://stor.unc.edu/graduate/ms-program/
University of North Texas,https://informationscience.unt.edu/ms-data-science
University of Pacific,https://engineering.pacific.edu/engineering/academics/ms-data-science
University of Pennsylvania,https://dats.seas.upenn.edu/
University of Rochester,https://www.sas.rochester.edu/dsc/graduate/ms.html
University of San Francisco,https://www.usfca.edu/arts-sciences/graduate-programs/data-science
University of Southern California,https://viterbigradadmission.usc.edu/programs/masters/msprograms/data-science/ms-applied-data-science/
"University of St. Thomas - Minnesota, Saint Paul",https://software.stthomas.edu/degree/masters/data-science/index.html
University of Texas,https://ms-datascience.utexas.edu/
